# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.718250465393066406e+01 1.536926555633544922e+01 1.979694724082946777e+00
1.000000000000000000e+03 6.691412448883056641e+00 6.334956169128417969e+00 2.154754698276519775e-01
2.000000000000000000e+03 6.301782608032226562e+00 6.314861774444580078e+00 2.351444065570831299e-01
3.000000000000000000e+03 5.940756797790527344e+00 6.473207473754882812e+00 2.406893670558929443e-01
4.000000000000000000e+03 5.572504997253417969e+00 6.911215305328369141e+00 2.578805387020111084e-01
5.000000000000000000e+03 3.468807935714721680e+00 7.646178722381591797e+00 2.831235826015472412e-01
6.000000000000000000e+03 1.912884831428527832e+00 4.680411815643310547e+00 2.064869701862335205e-01
7.000000000000000000e+03 1.029585599899291992e+00 7.551210403442382812e+00 1.966180056333541870e-01
8.000000000000000000e+03 8.264905810356140137e-01 1.065415000915527344e+01 2.834567129611968994e-01
9.000000000000000000e+03 8.193084597587585449e-02 1.069987010955810547e+01 3.125528097152709961e-01
1.000000000000000000e+04 1.616655290126800537e-02 1.110039234161376953e+01 3.290765583515167236e-01
1.100000000000000000e+04 7.544476538896560669e-03 1.100024223327636719e+01 3.430003225803375244e-01
1.200000000000000000e+04 2.356066368520259857e-03 1.111056995391845703e+01 3.700217008590698242e-01
1.300000000000000000e+04 2.008383016800507903e-04 1.121040630340576172e+01 3.855788409709930420e-01
1.400000000000000000e+04 4.495210760069312528e-06 1.124848842620849609e+01 3.900967240333557129e-01
1.500000000000000000e+04 2.902671440097037703e-06 1.125112724304199219e+01 3.898592293262481689e-01
1.600000000000000000e+04 4.338431608630344272e-06 1.124726867675781250e+01 3.901524543762207031e-01
1.700000000000000000e+04 2.475507062627002597e-05 1.124093818664550781e+01 3.912266194820404053e-01
1.800000000000000000e+04 9.420286772865438252e-09 1.123795127868652344e+01 3.903051614761352539e-01
1.900000000000000000e+04 1.382903283229097724e-04 1.123359012603759766e+01 3.948904871940612793e-01
2.000000000000000000e+04 1.965176021911929638e-09 1.122875976562500000e+01 3.900322318077087402e-01
2.100000000000000000e+04 1.369405799778178334e-04 1.122457599639892578e+01 3.942775130271911621e-01
2.200000000000000000e+04 5.529113695956766605e-05 1.122043514251708984e+01 3.866614699363708496e-01
2.300000000000000000e+04 2.984546085826877970e-07 1.121524333953857422e+01 3.895463943481445312e-01
2.400000000000000000e+04 3.660973035835013434e-08 1.121066188812255859e+01 3.895511925220489502e-01
2.500000000000000000e+04 7.425556702855828917e-08 1.120623016357421875e+01 3.893849253654479980e-01
2.600000000000000000e+04 6.355831283144652843e-05 1.120253944396972656e+01 3.859794437885284424e-01
2.700000000000000000e+04 2.473770655342377722e-05 1.119557476043701172e+01 3.898942768573760986e-01
2.800000000000000000e+04 2.816861410792625975e-07 1.119202423095703125e+01 3.889791667461395264e-01
2.900000000000000000e+04 3.342040955089942145e-08 1.118790912628173828e+01 3.889528512954711914e-01
3.000000000000000000e+04 3.075254062423482537e-05 1.118169784545898438e+01 3.883125483989715576e-01
3.100000000000000000e+04 2.074669680496299407e-07 1.117854785919189453e+01 3.888136446475982666e-01
3.200000000000000000e+04 3.369198608993428934e-08 1.117393398284912109e+01 3.885777890682220459e-01
3.300000000000000000e+04 1.539674499007048780e-09 1.116909790039062500e+01 3.883570730686187744e-01
3.400000000000000000e+04 4.192361657828769239e-08 1.116507816314697266e+01 3.882003128528594971e-01
3.500000000000000000e+04 4.423780774232000113e-05 1.116082763671875000e+01 3.857282698154449463e-01
3.600000000000000000e+04 6.411821118490479421e-08 1.115561485290527344e+01 3.880308270454406738e-01
3.700000000000000000e+04 4.178855661507441255e-08 1.115114593505859375e+01 3.878031373023986816e-01
3.800000000000000000e+04 2.697477975743822753e-05 1.114660644531250000e+01 3.857087790966033936e-01
3.900000000000000000e+04 6.061968349513335852e-08 1.114175128936767578e+01 3.877187669277191162e-01
4.000000000000000000e+04 2.187128416153427679e-07 1.113730144500732422e+01 3.874292671680450439e-01
4.100000000000000000e+04 2.874643541872501373e-06 1.113226985931396484e+01 3.877988755702972412e-01
4.200000000000000000e+04 6.721743557136505842e-05 1.112701511383056641e+01 3.891830742359161377e-01
4.300000000000000000e+04 5.164295544091146439e-06 1.112344741821289062e+01 3.863077759742736816e-01
4.400000000000000000e+04 1.875848880672492669e-07 1.111891269683837891e+01 3.868236541748046875e-01
4.500000000000000000e+04 6.987808774283621460e-06 1.111419296264648438e+01 3.858009874820709229e-01
4.600000000000000000e+04 1.669643097557127476e-05 1.110959243774414062e+01 3.852091133594512939e-01
4.700000000000000000e+04 1.101889779420162085e-08 1.110575103759765625e+01 3.865728676319122314e-01
4.800000000000000000e+04 2.524895137412386248e-08 1.110056400299072266e+01 3.864174187183380127e-01
4.900000000000000000e+04 7.905614496372947997e-10 1.109611129760742188e+01 3.863468766212463379e-01
5.000000000000000000e+04 1.171483958728458674e-07 1.109194374084472656e+01 3.863795399665832520e-01
5.100000000000000000e+04 8.390280470393918222e-08 1.108709621429443359e+01 3.861835598945617676e-01
5.200000000000000000e+04 3.210725935787195340e-06 1.108289527893066406e+01 3.855297863483428955e-01
5.300000000000000000e+04 2.512394985387800261e-07 1.107846736907958984e+01 3.860570192337036133e-01
5.400000000000000000e+04 6.908292160545670413e-09 1.107358932495117188e+01 3.857127130031585693e-01
5.500000000000000000e+04 7.033719953142281156e-07 1.106903648376464844e+01 3.852876722812652588e-01
5.600000000000000000e+04 1.373266859445720911e-04 1.106215667724609375e+01 3.877574801445007324e-01
5.700000000000000000e+04 1.707351088953146245e-06 1.105954170227050781e+01 3.855872452259063721e-01
5.800000000000000000e+04 1.231239252774685156e-07 1.105581760406494141e+01 3.850751221179962158e-01
5.900000000000000000e+04 8.436716214532680169e-09 1.105088806152343750e+01 3.851177096366882324e-01
6.000000000000000000e+04 2.897320161565630769e-09 1.104646301269531250e+01 3.849686384201049805e-01
6.100000000000000000e+04 6.859408586024073884e-06 1.104169940948486328e+01 3.837652802467346191e-01
6.200000000000000000e+04 5.237140143776741752e-08 1.103736877441406250e+01 3.846468329429626465e-01
6.300000000000000000e+04 2.766031502687837929e-05 1.103082752227783203e+01 3.852358460426330566e-01
6.400000000000000000e+04 4.223697374072798993e-07 1.102787876129150391e+01 3.841912150382995605e-01
6.500000000000000000e+04 9.228473096811740106e-09 1.102344322204589844e+01 3.843559324741363525e-01
6.600000000000000000e+04 1.362466761634095747e-08 1.101879501342773438e+01 3.841599822044372559e-01
6.700000000000000000e+04 5.804295710731821600e-07 1.101444530487060547e+01 3.841955065727233887e-01
6.800000000000000000e+04 9.065515769179910421e-06 1.100948047637939453e+01 3.851591348648071289e-01
6.900000000000000000e+04 1.744744935194830759e-07 1.100510787963867188e+01 3.839697539806365967e-01
7.000000000000000000e+04 3.832224683719687164e-05 1.100056171417236328e+01 3.812777996063232422e-01
7.100000000000000000e+04 3.811522049090854125e-07 1.099664306640625000e+01 3.833010196685791016e-01
7.200000000000000000e+04 5.355096810433224164e-09 1.099172210693359375e+01 3.834243118762969971e-01
7.300000000000000000e+04 1.912382252555744344e-08 1.098734760284423828e+01 3.832491934299468994e-01
7.400000000000000000e+04 5.769775324182546683e-09 1.098269748687744141e+01 3.831779658794403076e-01
7.500000000000000000e+04 5.348032118490664288e-06 1.097831249237060547e+01 3.834411203861236572e-01
7.600000000000000000e+04 1.687506482994649559e-06 1.097337245941162109e+01 3.824229836463928223e-01
7.700000000000000000e+04 5.415660666585608851e-07 1.096935558319091797e+01 3.827059566974639893e-01
7.800000000000000000e+04 2.722947328948066570e-06 1.096445369720458984e+01 3.819681107997894287e-01
7.900000000000000000e+04 2.325032028238638304e-06 1.095976924896240234e+01 3.819131553173065186e-01
8.000000000000000000e+04 2.125755963788833469e-05 1.095602512359619141e+01 3.818411827087402344e-01
8.100000000000000000e+04 8.957635189155155331e-10 1.095113849639892578e+01 3.822737038135528564e-01
8.200000000000000000e+04 6.356440280796959996e-06 1.094623756408691406e+01 3.831344842910766602e-01
8.300000000000000000e+04 5.693894991054548882e-07 1.094170951843261719e+01 3.817146420478820801e-01
8.400000000000000000e+04 2.112211205940184300e-08 1.093766498565673828e+01 3.818625807762145996e-01
8.500000000000000000e+04 2.167899765481706709e-06 1.093219661712646484e+01 3.819474577903747559e-01
8.600000000000000000e+04 1.181416564577375539e-06 1.092786216735839844e+01 3.820104002952575684e-01
8.700000000000000000e+04 2.841395325958728790e-05 1.092480850219726562e+01 3.812153637409210205e-01
8.800000000000000000e+04 1.306285230384673923e-05 1.091997718811035156e+01 3.826355040073394775e-01
8.900000000000000000e+04 1.339920174814324128e-07 1.091467380523681641e+01 3.813206553459167480e-01
9.000000000000000000e+04 8.546646723672779444e-10 1.091052913665771484e+01 3.811234533786773682e-01
9.100000000000000000e+04 6.055023593631858603e-09 1.090593338012695312e+01 3.810233473777770996e-01
9.200000000000000000e+04 1.891711747248336906e-07 1.090112113952636719e+01 3.806833028793334961e-01
9.300000000000000000e+04 8.309656323035596870e-07 1.089659690856933594e+01 3.810311555862426758e-01
9.400000000000000000e+04 6.108744088351159007e-08 1.089230918884277344e+01 3.807052969932556152e-01
9.500000000000000000e+04 2.149551932006943389e-07 1.088779163360595703e+01 3.804186284542083740e-01
9.600000000000000000e+04 7.636210739292437211e-07 1.088327980041503906e+01 3.799862563610076904e-01
9.700000000000000000e+04 1.249260179747579969e-07 1.087857055664062500e+01 3.803519010543823242e-01
9.800000000000000000e+04 1.068655819835839793e-06 1.087462806701660156e+01 3.805197179317474365e-01
9.900000000000000000e+04 1.174515909951878712e-05 1.087067031860351562e+01 3.793567121028900146e-01
1.000000000000000000e+05 1.505840600657393225e-06 1.086326503753662109e+01 3.800451755523681641e-01
